city_development_index,relevent_experience,education_level,experience,company_size,last_new_job,training_hours,target,gender_M,gender_F,Fulltime,Parttime,is_STEM
0.92,1,2.0,21.0,3.0,1.0,3.6109179126442243,1.0,1,0,0,0,1
0.7759999999999999,0,2.0,15.0,3.0,5.0,3.871201010907891,0.0,1,0,0,0,1
0.624,0,2.0,5.0,3.0,0.0,4.430816798843313,0.0,0,0,1,0,1
0.789,0,2.0,0.0,3.0,0.0,3.970291913552122,1.0,0,0,0,0,0
0.767,1,3.0,21.0,3.0,4.0,2.1972245773362196,0.0,1,0,0,0,1
0.764,1,2.0,11.0,3.0,1.0,3.2188758248682006,1.0,0,0,0,1,1
0.92,1,1.0,5.0,3.0,1.0,3.2188758248682006,0.0,1,0,0,0,0
0.762,1,2.0,13.0,1.0,5.0,2.9444389791664403,1.0,1,0,0,0,1
0.92,1,2.0,7.0,3.0,1.0,3.8501476017100584,1.0,1,0,0,0,1
0.92,1,2.0,17.0,8.0,5.0,4.820281565605037,0.0,0,0,0,0,1
0.624,0,1.0,2.0,8.0,0.0,3.4965075614664802,1.0,0,0,1,0,0
0.92,1,2.0,5.0,7.0,1.0,4.6913478822291435,0.0,1,0,0,0,1
0.913,1,2.0,21.0,6.0,3.0,3.1780538303479458,0.0,1,0,0,0,1
0.624,0,2.0,2.0,6.0,0.0,3.2188758248682006,0.0,1,0,0,0,0
0.624,0,1.0,5.0,6.0,0.0,3.295836866004329,0.0,0,0,1,0,0
0.926,1,2.0,16.0,2.0,5.0,2.9444389791664403,0.0,1,0,0,0,1
0.92,1,2.0,1.0,3.0,0.0,4.672828834461906,0.0,0,0,0,0,1
0.624,1,2.0,2.0,7.0,2.0,2.0794415416798357,0.0,0,0,0,0,1
0.624,1,2.0,7.0,8.0,0.0,3.1780538303479458,1.0,0,0,0,0,1
0.8270000000000001,1,2.0,4.0,8.0,1.0,4.890349128221754,1.0,0,1,0,0,0
0.843,1,3.0,11.0,4.0,1.0,4.23410650459726,0.0,1,0,0,0,1
0.926,1,3.0,11.0,4.0,2.0,3.9318256327243257,0.0,1,0,0,0,1
0.804,1,3.0,10.0,4.0,1.0,3.8918202981106265,0.0,0,0,0,0,1
0.7759999999999999,1,2.0,0.0,6.0,1.0,4.189654742026425,0.0,1,0,0,0,0
0.624,1,2.0,5.0,6.0,1.0,2.6390573296152584,0.0,0,0,0,0,1
0.855,0,1.0,4.0,6.0,0.0,3.1354942159291497,0.0,0,0,0,0,0
0.624,1,2.0,14.0,5.0,1.0,5.003946305945459,1.0,0,0,0,1,1
0.92,1,2.0,5.0,5.0,2.0,4.290459441148391,0.0,1,0,0,0,0
0.887,1,1.0,11.0,1.0,1.0,2.1972245773362196,1.0,1,0,0,0,0
0.624,1,2.0,18.0,3.0,2.0,4.23410650459726,1.0,1,0,0,0,1
0.92,1,2.0,21.0,4.0,3.0,3.713572066704308,0.0,1,0,0,0,1
0.92,1,2.0,19.0,7.0,5.0,4.955827057601261,0.0,1,0,0,1,1
0.92,0,2.0,5.0,7.0,1.0,3.2188758248682006,0.0,0,1,1,0,1
0.92,1,2.0,21.0,4.0,5.0,4.418840607796598,0.0,0,1,0,0,1
0.91,1,2.0,12.0,7.0,3.0,4.983606621708336,0.0,1,0,0,0,0
0.92,1,2.0,10.0,2.0,2.0,5.332718793265369,0.0,1,0,0,0,1
0.926,0,1.0,1.0,8.0,1.0,5.030437921392435,0.0,1,0,0,1,0
0.926,1,4.0,21.0,4.0,4.0,3.7612001156935624,1.0,1,0,0,0,1
0.92,0,2.0,12.0,4.0,4.0,3.9318256327243257,0.0,0,0,0,0,1
0.884,0,2.0,3.0,4.0,0.0,4.672828834461906,0.0,1,0,0,0,0
0.926,1,3.0,16.0,6.0,2.0,2.70805020110221,0.0,0,1,1,0,1
0.924,1,1.0,4.0,2.0,2.0,3.6109179126442243,0.0,1,0,0,0,0
0.624,1,3.0,6.0,3.0,1.0,4.727387818712341,1.0,0,0,0,0,1
0.6659999999999999,0,2.0,9.0,3.0,0.0,4.6913478822291435,0.0,0,0,0,0,0
0.624,1,3.0,9.0,7.0,3.0,2.0794415416798357,1.0,1,0,0,1,1
0.624,0,3.0,5.0,7.0,0.0,3.295836866004329,1.0,0,1,1,0,1
0.624,1,2.0,5.0,4.0,0.0,4.477336814478207,1.0,1,0,0,0,1
0.92,1,2.0,19.0,8.0,4.0,3.970291913552122,1.0,0,0,0,0,1
0.5579999999999999,1,2.0,15.0,8.0,5.0,3.044522437723423,1.0,1,0,0,0,0
0.923,1,2.0,11.0,2.0,1.0,3.091042453358316,0.0,1,0,0,0,1
0.5579999999999999,0,2.0,4.0,2.0,1.0,4.532599493153256,1.0,1,0,0,0,1
0.6659999999999999,1,2.0,10.0,4.0,2.0,4.634728988229636,0.0,1,0,0,0,1
0.794,0,2.0,5.0,8.0,5.0,3.295836866004329,0.0,1,0,0,0,0
0.924,1,3.0,3.0,1.0,2.0,2.0794415416798357,0.0,0,0,0,0,1
0.926,0,1.0,4.0,8.0,1.0,3.784189633918261,0.0,1,0,1,0,0
0.924,1,2.0,21.0,4.0,1.0,3.828641396489095,0.0,1,0,0,0,1
0.754,1,2.0,2.0,3.0,2.0,3.970291913552122,0.0,1,0,1,0,1
0.92,1,2.0,21.0,3.0,2.0,2.995732273553991,0.0,1,0,0,0,1
0.767,1,2.0,21.0,4.0,5.0,3.295836866004329,1.0,1,0,0,0,0
0.855,1,2.0,6.0,4.0,1.0,4.51085950651685,0.0,1,0,0,1,1
0.939,1,2.0,6.0,4.0,3.0,3.258096538021482,0.0,1,0,0,0,1
0.8270000000000001,1,3.0,13.0,1.0,1.0,2.772588722239781,0.0,0,0,0,0,1
0.887,1,3.0,21.0,4.0,5.0,3.8918202981106265,0.0,1,0,0,0,0
0.865,1,2.0,10.0,3.0,2.0,4.962844630259907,1.0,1,0,0,0,1
0.855,0,3.0,4.0,8.0,4.0,2.6390573296152584,0.0,0,0,0,0,0
